Company Name,Executive First Name,Executive Last Name,Address,City,State,Phone Number Combined,Primary SIC Description,SIC Code 1 Description,SIC Code 2 Description,Location Sales Volume Actual,Metro Area 1,Address1,lat,lon
Level 4 Orthotics & Prosthetic,Lee,Koo,208 Ashville Ave # 16,Cary,NC,(919) 851-7385,Physicians & Surgeons Equip & Supls-Whls,Physicians & Surgeons Equip & Supls-Whls,,"$2,479,000 ",Raleigh-Cary,208 Ashville Ave,35.73980522,-78.78456834
North Carolina Conference,James,Koo,700 Waterfield Ridge Pl,Garner,NC,(919) 779-6115,Religious Organizations,Religious Organizations,Associations,$0 ,Raleigh-Cary,700 Waterfield Ridge Pl,,
Rocky Mountain Chocolate Fctry,Yong,Koo,6801 Northlake Mall Dr # 185,Charlotte,NC,(704) 599-4553,Candy & Confectionery-Retail,Candy & Confectionery-Retail,Manufacturers,"$528,000 ",Charlotte,6801 Northlake Mall Dr,35.3519672,-80.8505083
Wesley Memorial United Mthdst,Jeounghun J,Koo,502 Main St,Columbia,NC,(252) 796-1664,Churches,Churches,,$0 ,,502 Main St,35.91800641,-76.25076086
Crystal Cleaners,Min,Ku,1151 N Smithfield Rd,Knightdale,NC,(919) 266-9229,Cleaners,Cleaners,,"$174,000 ",Raleigh-Cary,1151 N Smithfield Rd,35.7978996,-78.48811187
Duke Children's Hosp & Health,Lawrence C,Ku,2301 Erwin Rd,Durham,NC,(919) 681-6024,Neonatologists,Neonatologists,Physicians & Surgeons,"$960,000 ",Durham,2301 Erwin Rd,36.0070213,-78.93734788
Greensboro Sportsplex,Greg,Ku,2400 16th St,Greensboro,NC,(336) 373-3272,Sports Clubs,Sports Clubs,Government Offices-City/Village & Twp,$0 ,Greensboro,2400 16th St,36.11138954,-79.7491336
Ninth Avenue Link Inc,Jemo,Ku,300 Black Belt World Dr # 109,Knightdale,NC,Not Available,Nonclassified Establishments,Nonclassified Establishments,,$0 ,Raleigh-Cary,300 Black Belt World Dr,35.798535,-78.490277
Slunder Construction Inc,Chingyu J,Ku,3594 Garner Terrace Way,Wake Forest,NC,Not Available,Construction Companies,Construction Companies,,$0 ,Durham,3594 Garner Terrace Way,,
Kang Brother Inc,Kang C,Goo,329 Tate St,Greensboro,NC,Not Available,Restaurants,Restaurants,,"$369,000 ",Greensboro,329 Tate St,36.068689,-79.805505
Neurology & Pain Mgmt Ctr,Bianca L,Goo,350 Pine State St,Lillington,NC,(910) 893-9700,Physicians Assistants,Physicians Assistants,,"$54,000 ",Fayetteville,350 Pine State St,35.42211745,-78.80434689
Promats Athletics,Jenny,Goo,1455 Harrison Rd,Salisbury,NC,(704) 637-2140,Sporting Goods-Retail,Sporting Goods-Retail,Sporting & Athletic Goods NEC (Mfrs),"$6,624,000 ",Charlotte,1455 Harrison Rd,35.681192,-80.526558
Dendi LLC,Jung,Kook,21018 Bradford Green Sq,Cary,NC,Not Available,Nonclassified Establishments,Nonclassified Establishments,,$0 ,Raleigh-Cary,21018 Bradford Green Sq,,
Kook's Custom Headers Inc,George,Kook,141 Advantage Pl,Statesville,NC,(704) 768-2288,Mufflers & Exhaust Systems-Engine,Mufflers & Exhaust Systems-Engine,Metal Goods-Manufacturers,"$2,433,000 ",Charlotte,141 Advantage Pl,35.75565315,-80.7850418
Beautiphil Inc,Steve S,Kwon,1000 NC Music Factory Blvd # C,Charlotte,NC,Not Available,Nonclassified Establishments,Nonclassified Establishments,,$0 ,Charlotte,1000 NC Music Factory Blvd,,
Cary Lee Family Dentistry,David H,Kwon,1500 Piney Plains Rd,Cary,NC,(919) 388-8275,Dentists,Dentists,,"$609,000 ",Raleigh-Cary,1500 Piney Plains Rd,35.75896988,-78.74615173
Chapel Hill Martial Arts LLC,David,Kwon,601 Brookgreen Dr,Chapel Hill,NC,Not Available,Martial Arts Instruction,Martial Arts Instruction,,"$212,000 ",Durham,601 Brookgreen Dr,35.88527025,-79.07088587
Dry Elegance,H J,Kwon,2200 Gathering Park Cir,Cary,NC,(919) 460-6777,Cleaners,Cleaners,,"$232,000 ",Raleigh-Cary,2200 Gathering Park Cir,35.820292,-78.857407
Dry Elegance,Hyo J,Kwon,701 Meadowmont Village Cir,Chapel Hill,NC,(919) 932-1001,Cleaners,Cleaners,,"$116,000 ",Durham,701 Meadowmont Village Cir,35.905085,-79.0099218
Green Olive Realty LLC,Youngjae,Kwon,3808 Haven Dr,Charlotte,NC,Not Available,Real Estate Management,Real Estate Management,,$0 ,Charlotte,3808 Haven Dr,35.17854494,-80.84978787
